2021-08-19 22:22:34.356 [restartedMain] INFO  com.wuzhangze.eduservice.EduApplication - Started EduApplication in 1.141 seconds (JVM running for 14759.064)
2021-08-19 22:22:34.357 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-08-19 22:22:38.499 [Thread-40] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-08-19 22:22:38.688 [restartedMain] INFO  com.wuzhangze.eduservice.EduApplication - Starting EduApplication on DESKTOP-4T6VMVG with PID 8040 (D:\SpringCloudStudy\education-parent\service\service-edu\target\classes started by 86182 in D:\SpringCloudStudy\education-parent)
2021-08-19 22:22:38.689 [restartedMain] INFO  com.wuzhangze.eduservice.EduApplication - The following profiles are active: dev
2021-08-19 22:22:38.987 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-08-19 22:22:38.987 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-08-19 22:22:38.991 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3ms. Found 0 Redis repository interfaces.
2021-08-19 22:22:39.093 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-08-19 22:22:39.093 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-08-19 22:22:39.093 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-08-19 22:22:39.093 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2021-08-19 22:22:39.108 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-08-19 22:22:39.108 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 413 ms
2021-08-19 22:22:39.495 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-08-19 22:22:39.526 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-08-19 22:22:39.531 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-08-19 22:22:39.587 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-08-19 22:22:39.589 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2021-08-19 22:22:39.589 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-08-19 22:22:39.590 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-08-19 22:22:39.596 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-08-19 22:22:39.630 [restartedMain] INFO  com.wuzhangze.eduservice.EduApplication - Started EduApplication in 0.99 seconds (JVM running for 14764.338)
2021-08-19 22:22:39.632 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-08-19 22:22:48.970 [http-nio-8001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-08-19 22:22:48.971 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-08-19 22:22:48.974 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2021-08-19 22:35:15.188 [Thread-45] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-08-19 22:35:15.384 [restartedMain] INFO  com.wuzhangze.eduservice.EduApplication - Starting EduApplication on DESKTOP-4T6VMVG with PID 8040 (D:\SpringCloudStudy\education-parent\service\service-edu\target\classes started by 86182 in D:\SpringCloudStudy\education-parent)
2021-08-19 22:35:15.384 [restartedMain] INFO  com.wuzhangze.eduservice.EduApplication - The following profiles are active: dev
2021-08-19 22:35:15.732 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-08-19 22:35:15.732 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-08-19 22:35:15.735 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2ms. Found 0 Redis repository interfaces.
